TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,20/08/05
TIME,10:08:31
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.482117
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  499.9551
LASTX, 7800.1667
NPOINTS,   15143
FIRSTY,    -0.00000
MAXY,   137.69814
MINY,    -0.00000
XYDATA
618.0737,0.0883325
618.5558,0.137212
619.0379,0.168686
619.5200,0.168793
620.0021,0.136055
620.4843,0.082345
620.9664,0.029179
621.4485,-1.17549E-038
621.9306,0.00621911
622.4127,0.0469156
622.8948,0.103774
623.3770,0.153548
623.8591,0.178554
624.3412,0.174046
624.8233,0.148344
625.3054,0.115886
625.7875,0.0878082
626.2697,0.0667799
626.7518,0.0493408
627.2339,0.0325004
627.7160,0.0183529
628.1981,0.0131133
628.6802,0.0218864
629.1624,0.0437195
629.6445,0.0711606
630.1266,0.0948732
630.6087,0.109641
631.0908,0.117041
631.5729,0.122913
632.0551,0.131711
632.5372,0.141984
633.0193,0.146237
633.5014,0.135198
633.9835,0.103551
634.4656,0.0537508
634.9478,-1.17549E-038
635.4299,-1.17549E-038
635.9120,-1.17549E-038
636.3941,-1.17549E-038
636.8762,-1.17549E-038
637.3583,0.0049328
637.8405,0.0655191
638.3226,0.118875
638.8047,0.154507
639.2868,0.169081
639.7689,0.166438
640.2510,0.154502
640.7332,0.141068
641.2153,0.130995
641.6974,0.125778
642.1795,0.124418
642.6616,0.1241
643.1437,0.120509
643.6259,0.108946
644.1080,0.0870733
644.5901,0.0580456
645.0722,0.0310079
645.5543,0.0169886
646.0364,0.021951
646.5186,0.041891
647.0007,0.0640586
647.4828,0.0742954
647.9649,0.0662517
648.4470,0.0461913
648.9291,0.0288996
649.4113,0.0266637
649.8934,0.0399853
650.3755,0.0577573
650.8576,0.0662202
651.3397,0.0592075
651.8218,0.0423332
652.3040,0.0285613
652.7861,0.0284803
653.2682,0.0425431
653.7503,0.0613194
654.2324,0.0734902
654.7145,0.0751594
655.1967,0.0732009
655.6788,0.0799968
656.1609,0.10337
656.6430,0.139274
657.1251,0.172821
657.6072,0.186826
658.0894,0.171802
658.5715,0.13084
659.0536,0.0766468
659.5357,0.0233971
660.0178,-1.17549E-038
660.4999,-1.17549E-038
660.9821,-1.17549E-038
661.4642,-1.17549E-038
661.9463,-1.17549E-038
662.4284,-1.17549E-038
662.9105,-1.17549E-038
663.3926,0.025819
663.8748,0.0495813
664.3569,0.0506265
664.8390,0.0302693
665.3211,-1.17549E-038
665.8032,-1.17549E-038
666.2853,-1.17549E-038
666.7675,-1.17549E-038
667.2496,-1.17549E-038
667.7317,0.0161817
668.2138,0.145275
668.6959,0.224743
669.1780,0.217293
669.6602,0.179866
670.1423,0.146069
670.6244,0.123748
671.1065,0.112957
671.5886,0.111021
672.0707,0.11243
672.5529,0.108818
673.0350,0.09134
673.5171,0.0549772
673.9992,0.00238056
674.4813,-1.17549E-038
674.9634,-1.17549E-038
675.4456,-1.17549E-038
675.9277,-1.17549E-038
676.4098,-1.17549E-038
676.8919,-1.17549E-038
677.3740,0.000505927
677.8561,0.014148
678.3383,0.0116695
678.8204,0.00513268
679.3025,0.00755723
679.7846,0.0247869
680.2667,0.0522002
680.7488,0.0778593
681.2310,0.0897836
681.7131,0.0828567
682.1952,0.0614635
682.6773,0.0366019
683.1594,0.0193574
683.6415,0.0147106
684.1237,0.0194883
684.6058,0.025769
685.0879,0.0275707
685.5700,0.0263347
686.0521,0.0312504
686.5342,0.0537338
687.0164,0.0992427
687.4985,0.16148
687.9806,0.222859
688.4627,0.261667
688.9448,0.262329
689.4269,0.222943
689.9091,0.155728
690.3912,0.0807496
690.8733,0.0173678
691.3554,-1.17549E-038
691.8375,-1.17549E-038
692.3196,-1.17549E-038
692.8018,0.0149522
693.2839,0.0581218
693.7660,0.102319
694.2481,0.139314
694.7302,0.162769
695.2123,0.169584
695.6945,0.160857
696.1766,0.141687
696.6587,0.119311
697.1408,0.0999838
697.6229,0.0860387
698.1050,0.0751351
698.5872,0.062737
699.0693,0.0465639
699.5514,0.0298376
700.0335,0.0204562
700.5156,0.0258994
700.9977,0.0469385
701.4799,0.0747813
701.9620,0.0945705
702.4441,0.093817
702.9262,0.070429
703.4083,0.0347111
703.8904,0.00357315
704.3726,-1.17549E-038
704.8547,-1.17549E-038
705.3368,0.0162363
705.8189,0.0322301
